Full Name,Political Party,Party Short,Twitter,Notes
Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/RTErdogan,Genel Başkan
Binali Yıldırım,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/BY,Genel Başkan Vekili
Numan Kurtulmuş,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/NumanKurtulmus,Genel Başkan Vekili
Hayati Yazıcı,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Hayati_Yazici,Siyasi ve Hukuki İşler Başkanı
Erkan Kandemir,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/erkankandemir,Teşkilat İşleri Başkanı
Ali İhsan Yavuz,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/aliihsanyavuz54,Seçim İşleri Başkanı
Hamza Dağ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avhamzadag,Tanıtım ve Medya Başkanlığı
Efkan Ala,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/efkanala,Dışişleri Politikaları Başkanı
Julide Sarıeroğlu,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/jsarieroglu,Sosyal Politikalar Başkanı
Mehmet Özhaseki,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mehmetozhaseki,Yerel Yönetimler Başkanı
Nurettin Canikli,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/nurettincanikli,Ekonomi İşleri Başkanı
Özlem Zengin,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvOzlemZengin,Sivil Toplum ve Halkla İlişkiler Başkanı
Leyla Şahin Usta,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/leylasahinusta,İnsan Hakları Başkanı
Vedat Demiröz,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/vedatdemiroz,Mali ve İdari İşler Bakanı
Çiğdem Karaaslan,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/CK_Samsun,"Çevre, Şehir ve Kültür Başkanı"
Mustafa Şen,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mustafasenbd,"Araştırma, Geliştirme ve Eğitim Başkanı"
Ömer İleri,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/DrOmerileri,Bilgi ve İletişim Teknolojileri Başkanı
Ömer Çelik,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/omerrcelik,Parti Sözcüsü
Fatih Şahin,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/_fatihsahin,Genel Sekreter
